"ISIC REV. 4 - NACE REV. 2",,
"Source","Target"
"A","A"
"01","01"
"011","01.1"
"0111","01.11"
"0112","01.12"
"0113","01.13"
"0114","01.14"
"0115","01.15"
"0116","01.16"
"0119","01.19"
"012","01.2"
"0121","01.21"
"0122","01.22"
"0123","01.23"
"0124","01.24"
"0125","01.25"
"0126","01.26"
"0127","01.27"
"0128","01.28"
"0129","01.29"
"013","01.3"
"0130","01.30"
"014","01.4"
"0141","01.41"
"0141","01.42"
"0142","01.43"
"0143","01.44"
"0144","01.45"
"0145","01.46"
"0146","01.47"
"0149","01.49"
"015","01.5"
"0150","01.50"
"016","01.6"
"0161","01.61"
"0162","01.62"
"0163","01.63"
"0164","01.64"
"017","01.7"
"0170","01.70"
"02","02"
"021","02.1"
"0210","02.10"
"022","02.2"
"0220","02.20"
"023","02.3"
"0230","02.30"
"024","02.4"
"0240","02.40"
"03","03"
"031","03.1"
"0311","03.11"
"0312","03.12"
"032","03.2"
"0321","03.21"
"0322","03.22"
"B","B"
"05","05"
"051","05.1"
"0510","05.10"
"052","05.2"
"0520","05.20"
"06","06"
"061","06.1"
"0610","06.10"
"062","06.2"
"0620","06.20"
"07","07"
"071","07.1"
"0710","07.10"
"072","07.2"
"0721","07.21"
"0729","07.29"
"08","08"
"081","08.1"
"0810","08.11"
"0810","08.12"
"089","08.9"
"0891","08.91"
"0892","08.92"
"0893","08.93"
"0899","08.99"
"09","09"
"091","09.1"
"0910","09.10"
"099","09.9"
"0990","09.90"
"C","C"
"10","10"
"101","10.1"
"1010","10.11"
"1010","10.12"
"1010","10.13"
"102","10.2"
"1020","10.20"
"103","10.3"
"1030","10.31"
"1030","10.32"
"1030","10.39"
"104","10.4"
"1040","10.41"
"1040","10.42"
"105","10.5"
"1050","10.51"
"1050","10.52"
"106","10.6"
"1061","10.61"
"1062","10.62"
"107","10.7"
"107","10.8"
"1071","10.71"
"1071","10.72"
"1072","10.81"
"1073","10.82"
"1074","10.73"
"1075","10.85"
"1079","10.83"
"1079","10.84"
"1079","10.86"
"1079","10.89"
"108","10.9"
"1080","10.91"
"1080","10.92"
"11","11"
"110","11.0"
"1101","11.01"
"1102","11.02"
"1102","11.03"
"1102","11.04"
"1103","11.05"
"1103","11.06"
"1104","11.07"
"12","12"
"120","12.0"
"1200","12.00"
"13","13"
"131","13.1"
"131","13.2"
"131","13.3"
"1311","13.10"
"1312","13.20"
"1313","13.30"
"139","13.9"
"1391","13.91"
"1392","13.92"
"1393","13.93"
"1394","13.94"
"1399","13.95"
"1399","13.96"
"1399","13.99"
"14","14"
"141","14.1"
"1410","14.11"
"1410","14.12"
"1410","14.13"
"1410","14.14"
"1410","14.19"
"142","14.2"
"1420","14.20"
"143","14.3"
"1430","14.31"
"1430","14.39"
"15","15"
"151","15.1"
"1511","15.11"
"1512","15.12"
"152","15.2"
"1520","15.20"
"16","16"
"161","16.1"
"1610","16.10"
"162","16.2"
